Loading data...
Starting Bayesian optimization with Optuna...
[I 2025-03-11 12:09:32,561] A new study created in memory with name: no-name-2020c185-0831-4e46-9313-c64d70531f82
[I 2025-03-11 12:09:46,441] Trial 0 finished with value: 0.7938017184220837 and parameters: {'n_estimators': 2403, 'learning_rate': 0.12114913866631016, 'max_depth': 13, 'min_child_weight': 4, 'subsample': 0.9047767826403237, 'colsample_bytree': 0.3966684878859066, 'reg_alpha': 0.22801387599191142, 'reg_lambda': 1.0540677868815118}. Best is trial 0 with value: 0.7938017184220837.
[I 2025-03-11 12:09:54,599] Trial 1 finished with value: 0.8044090459930758 and parameters: {'n_estimators': 898, 'learning_rate': 0.02807748766242114, 'max_depth': 14, 'min_child_weight': 9, 'subsample': 0.7654637955151935, 'colsample_bytree': 0.7000252406475982, 'reg_alpha': 0.08515049633563469, 'reg_lambda': 0.010023195422770735}. Best is trial 1 with value: 0.8044090459930758.
[I 2025-03-11 12:10:05,328] Trial 2 finished with value: 0.767270749923972 and parameters: {'n_estimators': 2272, 'learning_rate': 0.1071651004416422, 'max_depth': 12, 'min_child_weight': 10, 'subsample': 0.279516640632421, 'colsample_bytree': 0.33352571187780833, 'reg_alpha': 0.011524054770931028, 'reg_lambda': 0.013808756060058167}. Best is trial 1 with value: 0.8044090459930758.
[I 2025-03-11 12:10:07,522] Trial 3 finished with value: 0.8029412942261616 and parameters: {'n_estimators': 196, 'learning_rate': 0.05135656919731112, 'max_depth': 13, 'min_child_weight': 9, 'subsample': 0.9846363611136659, 'colsample_bytree': 0.8535855912558776, 'reg_alpha': 0.045462186531168944, 'reg_lambda': 0.12561275900038954}. Best is trial 1 with value: 0.8044090459930758.
[I 2025-03-11 12:10:15,704] Trial 4 finished with value: 0.8027909651224834 and parameters: {'n_estimators': 1773, 'learning_rate': 0.019131415867827625, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.7425362189599405, 'colsample_bytree': 0.43226338019183796, 'reg_alpha': 9.283146310091514, 'reg_lambda': 0.01082058301235743}. Best is trial 1 with value: 0.8044090459930758.
[I 2025-03-11 12:10:21,989] Trial 5 finished with value: 0.7958079403242249 and parameters: {'n_estimators': 920, 'learning_rate': 0.13207660043667313, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 0.9656813500492112, 'colsample_bytree': 0.40710888742638984, 'reg_alpha': 1.169533161761716, 'reg_lambda': 2.576064030371659}. Best is trial 1 with value: 0.8044090459930758.
[I 2025-03-11 12:10:24,233] Trial 6 finished with value: 0.7982629609608951 and parameters: {'n_estimators': 296, 'learning_rate': 0.03631124219914823, 'max_depth': 12, 'min_child_weight': 9, 'subsample': 0.3063140954929818, 'colsample_bytree': 0.9733680834629332, 'reg_alpha': 2.992304710874565, 'reg_lambda': 0.021945630424763263}. Best is trial 1 with value: 0.8044090459930758.
[I 2025-03-11 12:10:44,785] Trial 7 finished with value: 0.8016902316120319 and parameters: {'n_estimators': 2582, 'learning_rate': 0.010642977371389202, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.39782682553484955, 'colsample_bytree': 0.6085361047416208, 'reg_alpha': 2.7401429128217076, 'reg_lambda': 0.003915767745531806}. Best is trial 1 with value: 0.8044090459930758.
[I 2025-03-11 12:10:50,714] Trial 8 finished with value: 0.7948542630920346 and parameters: {'n_estimators': 1703, 'learning_rate': 0.04228494978990493, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.7051835377374724, 'colsample_bytree': 0.28932257891786295, 'reg_alpha': 0.08496764322656525, 'reg_lambda': 0.03555859686635054}. Best is trial 1 with value: 0.8044090459930758.
[I 2025-03-11 12:10:56,053] Trial 9 finished with value: 0.7895040970754554 and parameters: {'n_estimators': 2650, 'learning_rate': 0.07351559671243711, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.45162227450091885, 'colsample_bytree': 0.38139358643565346, 'reg_alpha': 0.06158982294112473, 'reg_lambda': 8.029049954834672}. Best is trial 1 with value: 0.8044090459930758.
[I 2025-03-11 12:11:01,894] Trial 10 finished with value: 0.7727231967545136 and parameters: {'n_estimators': 1029, 'learning_rate': 0.2552407160368174, 'max_depth': 15, 'min_child_weight': 7, 'subsample': 0.5444358475386891, 'colsample_bytree': 0.690047811377976, 'reg_alpha': 0.0014828145445922114, 'reg_lambda': 0.0012026699602811165}. Best is trial 1 with value: 0.8044090459930758.
[I 2025-03-11 12:11:04,011] Trial 11 finished with value: 0.7986410626506729 and parameters: {'n_estimators': 111, 'learning_rate': 0.023665693097122423, 'max_depth': 15, 'min_child_weight': 8, 'subsample': 0.8390781764717538, 'colsample_bytree': 0.8164862847554217, 'reg_alpha': 0.012913232829129572, 'reg_lambda': 0.2177172477667417}. Best is trial 1 with value: 0.8044090459930758.
[I 2025-03-11 12:11:07,971] Trial 12 finished with value: 0.8045810600749794 and parameters: {'n_estimators': 735, 'learning_rate': 0.025022702686884755, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.776645476515236, 'colsample_bytree': 0.8344708124892873, 'reg_alpha': 0.021915908850724874, 'reg_lambda': 0.16049768341094603}. Best is trial 12 with value: 0.8045810600749794.
[I 2025-03-11 12:11:11,078] Trial 13 finished with value: 0.8021012221854513 and parameters: {'n_estimators': 927, 'learning_rate': 0.01864864588901642, 'max_depth': 6, 'min_child_weight': 10, 'subsample': 0.6832277467501977, 'colsample_bytree': 0.7361218732138668, 'reg_alpha': 0.33583590346696973, 'reg_lambda': 0.4011572668372855}. Best is trial 12 with value: 0.8045810600749794.
[I 2025-03-11 12:11:15,178] Trial 14 finished with value: 0.8033513210227712 and parameters: {'n_estimators': 659, 'learning_rate': 0.02867024546941355, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.827635108200666, 'colsample_bytree': 0.5507244252886685, 'reg_alpha': 0.010503888784755182, 'reg_lambda': 0.048450403124888915}. Best is trial 12 with value: 0.8045810600749794.
[I 2025-03-11 12:11:19,295] Trial 15 finished with value: 0.7998321502370631 and parameters: {'n_estimators': 1363, 'learning_rate': 0.011180407797923423, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.5872962605260074, 'colsample_bytree': 0.946920760525519, 'reg_alpha': 0.0018809058348297873, 'reg_lambda': 0.002400055453392412}. Best is trial 12 with value: 0.8045810600749794.
[I 2025-03-11 12:11:26,327] Trial 16 finished with value: 0.804827505836773 and parameters: {'n_estimators': 1284, 'learning_rate': 0.015028022948304388, 'max_depth': 9, 'min_child_weight': 8, 'subsample': 0.7936769418530042, 'colsample_bytree': 0.8226163811254698, 'reg_alpha': 0.027555051334096716, 'reg_lambda': 0.08747146777635185}. Best is trial 16 with value: 0.804827505836773.
[I 2025-03-11 12:11:34,613] Trial 17 finished with value: 0.8051352919767869 and parameters: {'n_estimators': 1486, 'learning_rate': 0.013980512850278093, 'max_depth': 9, 'min_child_weight': 7, 'subsample': 0.6460663384848783, 'colsample_bytree': 0.8658026917057168, 'reg_alpha': 0.005377251913339497, 'reg_lambda': 0.695954674240139}. Best is trial 17 with value: 0.8051352919767869.
[I 2025-03-11 12:11:40,935] Trial 18 finished with value: 0.8049784774583246 and parameters: {'n_estimators': 1326, 'learning_rate': 0.01526939457490138, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.642387274125557, 'colsample_bytree': 0.9075489864692843, 'reg_alpha': 0.004150990532207003, 'reg_lambda': 0.8317394383525304}. Best is trial 17 with value: 0.8051352919767869.
[I 2025-03-11 12:11:45,440] Trial 19 finished with value: 0.7980737595258796 and parameters: {'n_estimators': 1825, 'learning_rate': 0.014533252085955812, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 0.5107283204664581, 'colsample_bytree': 0.9164873578730943, 'reg_alpha': 0.0037784347472892264, 'reg_lambda': 0.7583296325168944}. Best is trial 17 with value: 0.8051352919767869.
